intake_date,animal_id,intake_type,intake_subtype,outcome_date,outcome_type,primary_breed,secondary_breed,years_old,months_old,OutcomeGroup,Breed,PitBullType,PitBullExpanded,AKC,AKC_Extended,KennelCardBreed,LOS,AgeGroup
7/24/13,A271064,EUTH REQ,OTC OWNED,7/24/13,EUTH,CAIRN TERRIER, ,0,4,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
7/25/13,A270618,RETURN,OTC,7/25/13,RESCUE,CAIRN TERRIER,MIX,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
8/13/13,A272691,DISPO REQ,FIELD,8/13/13,DISPOSAL,CAIRN TERRIER,MIX,5,0,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
11/7/13,A279229,STRAY,FIELD,11/7/13,DISPOSAL,CAIRN TERRIER, ,1,0,Euthanized/Dead,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adolescent (5-12mo)
6/22/13,A268150,OWNER SURR,OTC,6/26/13,EUTH,DANDIE DINMONT, ,9,0,Euthanized/Dead,Dandie Dinmont Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,4,Senior (8+yr)
6/27/13,A268618,STRAY,FIELD,7/16/13,ADOPTION,FOX TERR SMOOTH,MIX,2,0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,19,Adult (1-7yr)
10/2/13,A276506,STRAY,OTC,10/11/13,ADOPTION,FOX TERR SMOOTH, ,8,0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Senior (8+yr)
6/8/13,A266743,STRAY,FIELD,6/14/13,ADOPTION,FOX TERR SMOOTH,JACK RUSS TER,2,0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
7/18/13,A270531,STRAY,OTC,7/23/13,ADOPTION,FOX TERR SMOOTH,MIX,0,5,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adolescent (5-12mo)
8/13/13,A272666,OWNER SURR,FIELD,8/16/13,ADOPTION,FOX TERR SMOOTH,MIX,1,0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Adolescent (5-12mo)
9/23/13,A275628,OWNER SURR,OTC,9/25/13,RTO,FOX TERR SMOOTH,MIX,1,6,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,2,Adult (1-7yr)
3/29/13,A260398,STRAY,FIELD,3/30/13,RTO,FOX TERR SMOOTH,MIX,2,0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,1,Adult (1-7yr)
4/17/13,A261912,STRAY,FIELD,4/17/13,HOME EXP,FOX TERR SMOOTH, ,0,0,Lost/Found/Missing,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
6/7/13,A266638,STRAY,FIELD,6/7/13,RTO,FOX TERR SMOOTH,JACK RUSS TER,13,0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Senior (8+yr)
10/19/13,A277790,STRAY,FIELD,10/19/13,RTO,FOX TERR SMOOTH, ,3,0,Adopt/Live Exit,Smooth Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
4/19/13,A262219,STRAY,FIELD,5/19/13,LOST EXP,FOX TERR WIRE, ,13,0,Lost/Found/Missing,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,30,Senior (8+yr)
1/22/13,A255423,OWNER SURR,OTC,2/6/13,ADOPTION,FOX TERR WIRE, ,6,0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,15,Adult (1-7yr)
12/7/13,A281114,STRAY,FIELD,12/17/13,ADOPTION,FOX TERR WIRE,CAVALIER SPAN,1,0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,10,Adolescent (5-12mo)
5/11/13,A264162,STRAY,OTC,5/18/13,ADOPTION,FOX TERR WIRE,MIX,0,4,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Puppy (0-4mo)
11/11/13,A279473,STRAY,FIELD,11/18/13,ADOPTION,FOX TERR WIRE,MIX,0,7,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adolescent (5-12mo)
7/23/13,A270962,OWNER SURR,FIELD,7/26/13,RESCUE,FOX TERR WIRE,MIX,1,0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Adolescent (5-12mo)
7/23/13,A270967,OWNER SURR,FIELD,7/26/13,RESCUE,FOX TERR WIRE,MIX,0,2,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Puppy (0-4mo)
7/23/13,A270968,OWNER SURR,FIELD,7/26/13,RESCUE,FOX TERR WIRE,MIX,0,2,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Puppy (0-4mo)
