intake_date,animal_id,intake_type,intake_subtype,outcome_date,outcome_type,primary_breed,secondary_breed,years_old,months_old,OutcomeGroup,Breed,PitBullType,PitBullExpanded,AKC,AKC_Extended,KennelCardBreed,LOS,AgeGroup
2013-12-07,A281114,STRAY,FIELD,2013-12-17,ADOPTION,FOX TERR WIRE,CAVALIER SPAN,1,0.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,10,Adolescent (5-12mo)
2013-05-11,A264162,STRAY,OTC,2013-05-18,ADOPTION,FOX TERR WIRE,MIX,0,4.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Puppy (0-4mo)
2013-11-11,A279473,STRAY,FIELD,2013-11-18,ADOPTION,FOX TERR WIRE,MIX,0,7.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adolescent (5-12mo)
2013-07-23,A270962,OWNER SURR,FIELD,2013-07-26,RESCUE,FOX TERR WIRE,MIX,1,0.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Adolescent (5-12mo)
2013-07-23,A270967,OWNER SURR,FIELD,2013-07-26,RESCUE,FOX TERR WIRE,MIX,0,2.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Puppy (0-4mo)
2013-07-23,A270968,OWNER SURR,FIELD,2013-07-26,RESCUE,FOX TERR WIRE,MIX,0,2.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Puppy (0-4mo)
2013-07-23,A270969,OWNER SURR,FIELD,2013-07-26,RESCUE,FOX TERR WIRE,MIX,0,2.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Puppy (0-4mo)
2013-07-23,A270971,OWNER SURR,FIELD,2013-07-26,RESCUE,FOX TERR WIRE,MIX,0,2.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Puppy (0-4mo)
2013-07-23,A270972,OWNER SURR,FIELD,2013-07-26,RESCUE,FOX TERR WIRE,MIX,0,2.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Puppy (0-4mo)
2013-08-19,A273122,STRAY,OTC,2013-08-21,RTO,FOX TERR WIRE,unknown,13,0.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,2,Senior (8+yr)
2013-02-12,A257022,CONFISCATE,BITE,2013-02-13,DISPOSAL,FOX TERR WIRE,unknown,6,0.0,Euthanized/Dead,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,1,Adult (1-7yr)
2013-06-26,A192932,STRAY,OTC,2013-06-26,RTO,FOX TERR WIRE,unknown,15,0.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Senior (8+yr)
2013-11-24,A280369,OWNER SURR,FIELD,2013-11-24,DISPOSAL,FOX TERR WIRE,MIX,1,0.0,Euthanized/Dead,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adolescent (5-12mo)
2013-12-18,A281806,STRAY,FIELD,2013-12-18,RTO,FOX TERR WIRE,JACK RUSS TER,10,0.0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Senior (8+yr)
2013-04-13,A261638,DISPO REQ,OTC,2013-07-19,DISPOSAL,JACK RUSS TERR,MIX,0,4.0,Euthanized/Dead,Russell Terrier (Jack Russell),Not PB,Not PB,Terrier,Other Terriers,With Breed,97,Puppy (0-4mo)
2013-03-13,A259190,STRAY,FIELD,2013-04-13,HOME EXP,JACK RUSS TERR,PATTERDALE TE,1,0.0,Lost/Found/Missing,Russell Terrier (Jack Russell),Not PB,Not PB,Terrier,Other Terriers,With Breed,31,Adolescent (5-12mo)
