intake_type,intake_subtype,secondary_breed,Breed,AKC_Extended,KennelCardBreed,LOS,AgeGroup,age
STRAY,OTC,LABRADOR RETR,American Staffordshire Terrier,Pit Bull Types,With Breed,12,Adolescent (5-12mo),1.0
STRAY,OTC,MIX,Yorkshire Terrier,Toy,With Breed,5,Adult (1-7yr),1.259921049894873
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,22,Adolescent (5-12mo),0.8879040017426006
EUTH REQ,OTC OWNED,MIX,Poodle,Non-sporting,With Breed,0,Senior (8+yr),2.4662120743304703
STRAY,FIELD,unknown,German Shepherd Dog,Herding,With Breed,5,Adolescent (5-12mo),1.0
CONFISCATE,CRUELTY,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,28,Adolescent (5-12mo),0.928317766722556
STRAY,OTC,BORDER COLLIE,Labrador Retreiver,Sporting,With Breed,14,Adolescent (5-12mo),1.0
OWNER SURR,OTC,DACHSHUND MIN,Chihuahua,Toy,Without Breed,8,Adult (1-7yr),1.6509636244473134
STRAY,OTC,unknown,Chihuahua,Toy,Without Breed,9,Adult (1-7yr),1.8171205928321394
STRAY,FIELD,unknown,Russell Terrier (Jack Russell),Other Terriers,With Breed,30,Puppy (0-4mo),0.0
EUTH REQ,OTC OWNED,GOLDEN RETR,Chow Chow,Non-sporting,Without Breed,0,Senior (8+yr),2.3513346877207573
STRAY,FIELD,unknown,Shih Tzu,Toy,Without Breed,7,Senior (8+yr),2.154434690031884
STRAY,OTC,SHIH TZU,Poodle,Non-sporting,Without Breed,7,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Chihuahua,Toy,With Breed,17,Senior (8+yr),2.154434690031884
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,6,Puppy (0-4mo),0.5848035476425733
STRAY,FIELD,unknown,Pointer,Sporting,With Breed,8,Adult (1-7yr),1.259921049894873
STRAY,OTC,MIX,Labrador Retreiver,Sporting,Without Breed,5,Puppy (0-4mo),0.6694329500821695
STRAY,OTC,DALMATIAN,American Staffordshire Terrier,Pit Bull Types,Without Breed,1,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,MIX,German Shepherd Dog,Herding,Without Breed,9,Adult (1-7yr),1.259921049894873
STRAY,FIELD,MIX,Chinese Shar-Pei,Non-sporting,Without Breed,14,Senior (8+yr),2.154434690031884
EUTH REQ,OTC OWNED,CHOW CHOW,American Staffordshire Terrier,Pit Bull Types,Without Breed,0,Adult (1-7yr),1.5874010519681994
STRAY,OTC,unknown,Poodle,Non-sporting,With Breed,1,Senior (8+yr),2.0
STRAY,OTC,MIX,Finnish Spitz,Non-sporting,Without Breed,1,Senior (8+yr),2.139974961130159
STRAY,OTC,unknown,Norfolk Terrier,Other Terriers,With Breed,5,Puppy (0-4mo),0.6694329500821695
